Date,AAPL,MSFT,GOOG,FB,AMZN
2019/08/23,202.64,133.39,1151.29,177.75,1749.62
2019/08/22,212.46,137.78,1189.53,182.04,1805.6
2019/08/21,212.64,138.79,1191.25,183.55,1823.54
2019/08/20,210.36,137.26,1182.69,183.81,1801.38
2019/08/19,210.35,138.41,1198.45,186.17,1816.12
2019/08/16,206.5,136.13,1177.6,183.7,1792.57
2019/08/15,201.74,133.68,1167.26,182.59,1776.12
2019/08/14,202.75,133.98,1164.29,179.71,1762.96
2019/08/13,208.97,138.6,1197.27,188.45,1824.34
2019/08/12,200.48,135.79,1174.71,185.37,1784.92
2019/08/09,200.99,137.71,1188.01,187.85,1807.58
2019/08/08,203.43,138.89,1204.8,190.16,1832.89
2019/08/07,199.04,135.28,1173.99,185.15,1793.4
2019/08/06,197,134.69,1169.95,184.51,1787.83
2019/08/05,193.34,132.21,1152.32,181.73,1765.13
2019/08/02,204.02,136.9,1193.99,189.02,1823.24
2019/08/01,208.43,138.06,1209.01,192.73,1855.32
2019/07/31,213.04,136.27,1216.68,194.23,1866.78
2019/07/30,208.78,140.35,1225.14,197.04,1898.53
2019/07/29,209.68,141.03,1239.41,195.94,1912.45
2019/07/26,207.74,141.34,1250.41,199.75,1943.05
2019/07/25,207.02,140.19,1132.12,200.71,1973.82
2019/07/24,208.67,140.72,1137.81,204.66,2000.81
2019/07/23,208.84,139.29,1146.21,202.36,1994.49
2019/07/22,207.22,138.43,1138.07,202.32,1985.63
2019/07/19,202.59,136.62,1130.1,198.36,1964.52
2019/07/18,205.66,136.42,1146.33,200.78,1977.9
2019/07/17,203.35,136.27,1146.35,201.8,1992.03
2019/07/16,204.5,137.08,1153.58,203.84,2009.9
2019/07/15,205.21,138.9,1150.34,203.91,2020.99
2019/07/12,203.3,138.9,1144.9,204.87,2011
2019/07/11,201.75,138.4,1144.21,201.23,2001.07
2019/07/10,203.23,137.85,1140.48,202.73,2017.41
2019/07/09,201.24,136.46,1124.83,199.21,1988.3
2019/07/08,200.02,136.96,1116.35,195.76,1952.32
2019/07/05,204.23,137.06,1131.59,196.4,1942.91
2019/07/03,204.41,137.46,1121.58,197.2,1939
2019/07/02,202.73,136.58,1111.25,195,1934.31
2019/07/01,201.55,135.68,1097.95,193,1922.19
2019/06/28,197.92,133.96,1080.91,193,1893.63
2019/06/27,199.74,134.15,1076.01,189.5,1904.28
2019/06/26,199.8,133.93,1079.8,187.66,1897.83
2019/06/25,195.57,133.43,1086.35,188.84,1878.27
2019/06/24,198.58,137.78,1115.52,192.6,1913.9
2019/06/21,198.78,136.97,1121.88,191.14,1911.3
2019/06/20,199.46,136.95,1111.42,189.53,1918.19
2019/06/19,197.87,135.69,1102.33,187.48,1908.79
2019/06/18,198.45,135.16,1103.6,188.47,1901.37
2019/06/17,193.89,132.85,1092.5,189.01,1886.03
2019/06/14,192.74,132.45,1085.35,181.33,1869.67
2019/06/13,194.15,132.32,1088.77,177.47,1870.3
2019/06/12,194.19,131.49,1077.03,175.04,1855.32
2019/06/11,194.81,132.1,1078.72,178.1,1863.7
2019/06/10,192.58,132.6,1080.38,174.82,1860.63
2019/06/07,190.15,131.4,1066.04,173.35,1804.03
2019/06/06,185.22,127.82,1044.34,168.33,1754.36
2019/06/05,182.54,125.83,1042.22,168.17,1738.5
2019/06/04,179.64,123.16,1053.05,167.5,1729.56
2019/06/03,173.3,119.84,1036.23,164.15,1692.69
2019/05/31,175.07,123.68,1103.63,177.47,1775.07
2019/05/30,178.3,125.73,1117.95,183.01,1816.32
2019/05/29,177.38,124.94,1116.46,182.19,1819.19
2019/05/28,178.23,126.16,1134.15,184.31,1836.43
2019/05/24,178.97,126.24,1133.47,181.06,1823.28
2019/05/23,179.66,126.18,1140.77,180.87,1815.48
2019/05/22,182.78,127.67,1151.42,185.32,1859.68
2019/05/21,186.6,126.9,1149.63,184.82,1857.52
2019/05/20,183.09,126.22,1138.85,182.72,1858.97
2019/05/17,189,128.07,1162.3,185.3,1869
2019/05/16,190.08,128.93,1178.98,186.99,1907.57
