Date,SNE,AMD,TWTR,IBM,MU
2019/08/23,202.64,133.39,1151.29,177.75,42.96
2019/08/22,54.77,31.9,42.18,134.32,44.78
2019/08/21,56.65,31.7,42.8,134.25,44.17
2019/08/20,55.66,30.72,42.29,133,44.23
2019/08/19,55.72,31.48,41.7,135.04,45.01
2019/08/16,55.73,31.18,40.58,133.76,43.55
2019/08/15,55.02,29.67,40.09,131.92,42.24
2019/08/14,54.32,30.24,40.65,131.25,42.04
2019/08/13,56.26,32.11,41.81,135.79,44.17
2019/08/12,55.6,32.43,40.48,133.67,42.13
2019/08/09,56.11,34.19,41.53,136.13,41.52
2019/08/08,56.25,33.92,42.07,140.1,42.63
2019/08/07,55.53,29.19,41.73,139.11,41.75
2019/08/06,55,28.86,41.32,140.73,42.62
2019/08/05,53.65,27.99,40.37,140.76,41.94
2019/08/02,54.98,29.44,42.85,147.25,44.08
2019/08/01,55.85,29.86,42.08,150.32,43.6
2019/07/31,56.86,30.45,42.31,148.24,44.89
2019/07/30,57.1,33.87,41,149.77,47.46
2019/07/29,54.7,33.48,41.5,150.88,46.82
2019/07/26,54.8,34.02,41.52,151.36,47.49
2019/07/25,54.55,33.67,38.12,150.39,47.77
2019/07/24,55.1,34.11,38.73,150.03,47.99
2019/07/23,54.41,33.49,37.9,150.38,46.95
2019/07/22,53.8,32.85,37.58,149.74,47.19
2019/07/19,53.66,32.51,36.77,149.68,45.52
2019/07/18,53.95,33,37.66,149.63,44.67
2019/07/17,54.37,33.6,37.7,143.07,43.37
2019/07/16,53.99,33.85,37.99,143.53,43.06
2019/07/15,55.77,34.39,38.68,143.32,44.4
2019/07/12,55.77,33.21,37.84,142.74,44.51
2019/07/11,55.02,33.06,37.21,141.24,43.48
2019/07/10,54.78,33.79,37.47,140.47,42.9
2019/07/09,54.38,33.15,37.65,139.33,41.35
2019/07/08,54.66,32.04,36.45,140.57,40.41
2019/07/05,55.03,31.5,36.25,141.38,39.42
2019/07/03,54.72,31.19,36.02,141.54,39.59
2019/07/02,53.68,31.24,36.22,140.22,39.6
2019/07/01,53.71,31.2,36.08,139.88,40.11
2019/06/28,52.39,30.37,34.9,137.9,38.59
2019/06/27,52.7,30.74,34.75,138.52,38.07
2019/06/26,52.46,29.92,35.22,138.52,37.04
2019/06/25,52.55,28.86,34.72,138.36,32.68
2019/06/24,53.15,29.26,35.58,139.35,33.19
2019/06/21,53.24,29.1,35.02,139.2,33.25
2019/06/20,53.94,30.01,35.44,138.85,34.15
2019/06/19,52.98,30.5,36.29,137.08,33.94
2019/06/18,52.21,30.45,36.65,136.38,34.29
2019/06/17,52.1,29.2,36.44,134.95,32.43
2019/06/14,51.33,30.36,36.15,135.15,32.66
2019/06/13,49.67,31.39,36.34,135.76,33.38
2019/06/12,49.38,32.18,37.49,134.87,32.96
2019/06/11,49.82,32.41,37.21,135.95,34.84
2019/06/10,49.62,33.23,37.64,134.74,34.94
2019/06/07,48.86,32.41,37.93,133.31,33.99
2019/06/06,47.45,31.82,36.59,132.22,33.47
